1024,172083270,148548507,149426105,149338259,146625953,146280529,147291399,150103483,149820293,147236554
2048,146445948,150325382,149276201,147193460,147369145,149394046,146351196,148524857,147854185,151026702
4096,147162877,146933197,149170898,145677864,149580323,147202426,145050769,145994565,148183961,148938176
8192,144082531,150686415,149288512,148650721,146618645,150597192,149295247,146565371,152089089,147432984
16384,145925662,148552595,149213243,152183879,147665681,147073871,147684948,145196787,148578287,149603297
32768,149665136,148298141,149877581,146483349,147085187,149268629,148474682,148101538,152708094,147906730
65536,146679988,149750129,149675219,151381956,153262342,149197108,148785571,148728954,151110246,147288721
131072,145257564,148999946,151860557,146347176,149742181,153625385,151432020,148425386,151670865,150644183
262144,155493200,154379918,159956290,152366869,161911036,166536204,164402921,156691031,156044534,157374417
524288,160195859,160594240,161722403,159945577,166355821,161773273,160269316,163314250,160698269,159512413
1048576,174060265,169432072,168505069,182439185,169093078,164015015,169800997,167365170,166891729,172572997
2097152,172402913,176724095,180958954,174157800,173950297,183947491,174217654,185496727,175498352,178490529
4194304,179405875,178085251,181753993,181600106,184176309,176711731,185480189,182558315,187692984,176590097
8388608,181011591,191630653,184401947,189361896,181477993,184229885,186465679,182633748,194510104,182528550
16777216,178717979,189864669,184854041,201992554,185998522,190879159,187070514,180275740,184166886,190587560
33554432,193097727,192211571,189907911,182786855,189191612,193765881,192902217,182392910,194767606,186759066

